volvo2|3217|145|106|22470|6A 
volvo1|3062|141|114|22625|5D
mercedes-benz6|3750|184|127|28248|4C
audi1|3086|131|140|23875|5C
mercedes-benz1|3715|304|185|45400|1A
saab1|2847|121|161|18620|8B
mercedes-benz4|3740|234|155|34184|3A
mercedes-benz8|3515|185|126|25552|5A
porsche2|2757|196|209|34028|3B
bmw4|3055|164|121|24565|5B
volvo4|3049|142|162|19045|7C
mercedes-benz2|3900|308|184|40960|1C
jaguar2|4067|259|177|35550|2C
volvo5|3157|130|164|18950|7D
jaguar1|3950|326|262|36000|2
bmw3|3230|211|183|30760|4B
bmw2|3505|209|181|36880|2A
volvo6|3045|132|163|18420|8C
audi2|2954|136|110|18920|8A
mercedes-benz5|3770|183|128|31600|4A
mercedes-benz3|3685|235|156|35056|2D
porsche4|2778|151|143|22018|6B
mercedes-benz7|3495|186|125|28176|4D
bmw5|2765|165|122|21105|6D
porsche1|2800|194|207|37028|1D
jaguar3|4066|258|176|32250|3D
bmw1|3380|210|182|41315|1B
bmw6|2710|166|123|20970|7A
volvo3|3012|173|134|21485|6C
nissan2|3139|181|160|18399|8D
nissan1|3140|182|200|19699|7B
porsche3|2756|195|208|32528|3C
